genre,rank,ngram,count
biography,1,lord lord lord,14
biography,2,south african war,13
biography,3,foundation stone new,10
biography,4,state dinner given,9
biography,5,laying foundation stone,9
biography,6,laid foundation stone,9
biography,7,three days later,9
biography,8,chapter chapter chapter,9
biography,9,great house farm,9
biography,10,shall never forget,9
biography,11,one hundred fifty,8
biography,12,two days later,8
biography,13,great round world,8
biography,14,south boston mass,8
biography,15,heir british throne,7
biography,16,evening state dinner,7
biography,17,lord lord sir,7
biography,18,united kingdom great,6
biography,19,kingdom great britain,6
biography,20,reception government house,6
biography,21,great banquet given,6
biography,22,right hon sir,6
biography,23,illustration right hon,6
biography,24,would marked thus,6
biography,25,use manual alphabet,6
biography,26,teaching speech deaf,6
biography,27,lovingly little friend,6
biography,28,loving little friend,6
biography,29,long time ago,6
biography,30,two three times,6
biography,31,new printing office,5
biography,32,state dinner reception,5
biography,33,sang national anthem,5
biography,34,state banquet evening,5
biography,35,evening next day,5
biography,36,usual state dinner,5
biography,37,government house evening,5
biography,38,lord mr chamberlain,5
biography,39,morning october th,5
biography,40,mr chamberlain lord,5
biography,41,little deaf child,5
biography,42,american association promote,5
biography,43,association promote teaching,5
biography,44,promote teaching speech,5
biography,45,school new york,5
biography,46,deaf blind child,5
biography,47,printing office near,4
biography,48,first visit boston,4
biography,49,man united kingdom,4
biography,50,tour british america,4
biography,51,new york tribune,4
biography,52,enthusiastic reception given,4
biography,53,lieutenant general sir,4
biography,54,review took place,4
biography,55,princess mrs grey,4
biography,56,lord mr mr,4
biography,57,people great britain,4
biography,58,position heir apparent,4
biography,59,july th year,4
biography,60,july th new,4
biography,61,lord lord mr,4
biography,62,upon one occasion,4
biography,63,twenty five thousand,4
biography,64,five thousand school,4
biography,65,state dinner government,4
biography,66,dinner government house,4
biography,67,presentation south african,4
biography,68,lord great chamberlain,4
biography,69,mr covey one,4
biography,70,woe unto ye,4
biography,71,learned great many,4
biography,72,th dear mr,4
biography,73,precious little sister,4
biography,74,great many people,4
biography,75,poor little girl,4
biography,76,boston mass dear,4
biography,77,cannot help feeling,4
biography,78,gave much pleasure,4
biography,79,plan moral perfection,3
biography,80,albany plan union,3
biography,81,thought made certainly,3
biography,82,made certainly awkward,3
biography,83,certainly awkward ridiculous,3
biography,84,awkward ridiculous appearance,3
biography,85,took working press,3
biography,86,still work go,3
biography,87,work go home,3
biography,88,go home club,3
biography,89,regularly took turn,3
biography,90,took turn duty,3
biography,91,turn duty common,3
biography,92,duty common soldier,3
biography,93,evening hearing great,3
biography,94,hearing great noise,3
biography,95,great noise among,3
biography,96,noise among walk,3
biography,97,immediately set work,3
biography,98,set work cut,3
biography,99,wide far discourage,3
biography,100,find stream plentifully,3
fantasy,1,said mock turtle,20
fantasy,2,road yellow brick,13
fantasy,3,said little man,10
fantasy,4,said march hare,10
fantasy,5,pick pick pick,10
fantasy,6,wicked witch east,8
fantasy,7,one one one,8
fantasy,8,said old woman,8
fantasy,9,father grieved gone,8
fantasy,10,laid kerchief took,8
fantasy,11,kerchief took might,8
fantasy,12,took might lie,8
fantasy,13,shall trouble reader,8
fantasy,14,little old woman,7
fantasy,15,looking glass house,7
fantasy,16,till last came,7
fantasy,17,underneath juniper tree,7
fantasy,18,juniper tree beautiful,7
fantasy,19,mother good evening,7
fantasy,20,poor little thing,6
fantasy,21,march hare said,6
fantasy,22,wretch enough yet,6
fantasy,23,man sea hearken,6
fantasy,24,sea hearken wife,6
fantasy,25,hearken wife hath,6
fantasy,26,wife hath sent,6
fantasy,27,hath sent beg,6
fantasy,28,sent beg boon,6
fantasy,29,beg boon thee,6
fantasy,30,go home said,6
fantasy,31,home said fish,6
fantasy,32,blow blow let,6
fantasy,33,might lie underneath,6
fantasy,34,lie underneath juniper,6
fantasy,35,behave well mother,6
fantasy,36,good evening mother,6
fantasy,37,evening mother good,6
fantasy,38,take took nothing,6
fantasy,39,never mind better,6
fantasy,40,man mountain shall,6
fantasy,41,three four times,6
fantasy,42,bade good bye,5
fantasy,43,brains said scarecrow,5
fantasy,44,heart said tin,5
fantasy,45,emerald city said,5
fantasy,46,great throne room,5
fantasy,47,kill wicked witch,5
fantasy,48,let us go,5
fantasy,49,little golden key,5
fantasy,50,mock turtle said,5
fantasy,51,oh oh oh,5
fantasy,52,shall cost thee,5
fantasy,53,said open door,5
fantasy,54,alas alas thy,5
fantasy,55,alas thy mother,5
fantasy,56,thy mother knew,5
fantasy,57,mother knew sadly,5
fantasy,58,knew sadly sadly,5
fantasy,59,sadly sadly would,5
fantasy,60,sadly would rue,5
fantasy,61,seven one blow,5
fantasy,62,grieved gone sister,5
fantasy,63,gone sister best,5
fantasy,64,sister best laid,5
fantasy,65,best laid kerchief,5
fantasy,66,sang mother little,5
fantasy,67,mind better next,5
fantasy,68,better next time,5
fantasy,69,next time whither,5
fantasy,70,time whither away,5
fantasy,71,mother behave well,5
fantasy,72,beautiful young lady,5
fantasy,73,search water life,5
fantasy,74,desired would give,5
fantasy,75,get back aunt,4
fantasy,76,go emerald city,4
fantasy,77,give heart said,4
fantasy,78,good bye good,4
fantasy,79,great terrible seek,4
fantasy,80,mouse mouse mouse,4
fantasy,81,said caterpillar well,4
fantasy,82,please majesty said,4
fantasy,83,join dance join,4
fantasy,84,dance join dance,4
fantasy,85,said white rabbit,4
fantasy,86,chapter looking glass,4
fantasy,87,three hundred sixty,4
fantasy,88,queen white queen,4
fantasy,89,chanticleer partlet went,4
fantasy,90,away went stock,4
fantasy,91,went stock stone,4
fantasy,92,said let us,4
fantasy,93,put hand pocket,4
fantasy,94,lived happily together,4
fantasy,95,soon fell asleep,4
fantasy,96,enough yet said,4
fantasy,97,yet said sparrow,4
fantasy,98,cost thee thy,4
fantasy,99,thee thy life,4
fantasy,100,went till came,4
horror,1,chapter chapter chapter,22
horror,2,ugh ugh ugh,13
horror,3,chapter diary chapter,10
horror,4,ha ha ha,9
horror,5,let us go,8
horror,6,valley many colored,7
horror,7,many colored grass,7
horror,8,diary chapter diary,6
horror,9,shook head said,5
horror,10,must fallen asleep,5
horror,11,went back room,5
horror,12,sharp white teeth,4
horror,13,tall thin man,4
horror,14,last night slept,4
horror,15,chapter diary continued,4
horror,16,chapter diary october,4
horror,17,poor dear madam,4
horror,18,man man solitude,4
horror,19,man solitude night,4
horror,20,solitude night waned,4
horror,21,night waned sat,4
horror,22,waned sat upon,4
horror,23,branch natural philosophy,3
horror,24,taken place since,3
horror,25,young woman cottage,3
horror,26,return native country,3
horror,27,create another like,3
horror,28,journal chapter diary,3
horror,29,guard evil eye,3
horror,30,around us could,3
horror,31,last night little,3
horror,32,said take care,3
horror,33,went dining room,3
horror,34,white sharp teeth,3
horror,35,wish could get,3
horror,36,look face could,3
horror,37,like old self,3
horror,38,sat edge bed,3
horror,39,solemn duty come,3
horror,40,good bye dear,3
horror,41,dear old fellow,3
horror,42,must go back,3
horror,43,poor old fellow,3
horror,44,shall never know,3
horror,45,pall mall gazette,3
horror,46,one old man,3
horror,47,god help us,3
horror,48,hand shoulder said,3
horror,49,little golden crucifix,3
horror,50,heart stood still,3
horror,51,took old man,3
horror,52,oh god god,3
horror,53,many long day,3
horror,54,door behind us,3
horror,55,closed door behind,3
horror,56,room found lying,3
horror,57,found lying floor,3
horror,58,dear dear madam,3
horror,59,great kukri knife,3
horror,60,one earth box,3
horror,61,lapping rushing water,3
