genre,rank,ngram,count
horror,46,thought would,15
horror,47,well said,15
horror,48,natural philosophy,14
horror,49,poor girl,14
horror,50,well known,14
horror,51,good god,14
horror,52,upon us,14
horror,53,would like,14
horror,54,poor fellow,14
horror,55,journal october,14
horror,56,around us,14
horror,57,ha ha,14
horror,58,fell upon,14
horror,59,ugh ugh,14
horror,60,nothing could,13
horror,61,shall ever,13
horror,62,let go,13
horror,63,know know,13
horror,64,went back,13
horror,65,shall come,13
horror,66,said solemnly,13
horror,67,amongst us,13
horror,68,came away,13
horror,69,good night,13
horror,70,half hour,13
horror,71,could make,13
horror,72,next morning,12
horror,73,took place,12
horror,74,sat upon,12
horror,75,would never,12
horror,76,three days,12
horror,77,journal chapter,12
horror,78,came room,12
horror,79,round neck,12
horror,80,take care,12
horror,81,closed door,12
horror,82,time come,12
horror,83,night shall,12
horror,84,shall get,12
horror,85,laid hand,12
horror,86,us go,12
horror,87,early morning,12
horror,88,hand upon,12
horror,89,two days,11
horror,90,could hardly,11
horror,91,bas relief,11
horror,92,one point,11
horror,93,diary chapter,11
horror,94,without word,11
horror,95,shall take,11
horror,96,could get,11
romance,1,young lady,82
romance,2,every thing,80
romance,3,young man,78
romance,4,great deal,75
romance,5,drawing room,66
romance,6,half hour,62
romance,7,young ladies,61
romance,8,said mrs,61
romance,9,every day,60
romance,10,lady capulet,60
romance,11,chapter illustration,57
romance,12,let us,56
romance,13,last night,54
romance,14,said mr,52
romance,15,chapter chapter,49
romance,16,next morning,48
romance,17,would never,48
romance,18,must go,46
romance,19,would give,45
romance,20,miss eyre,45
romance,21,could help,44
romance,22,good night,38
romance,23,nothing could,37
romance,24,one side,35
romance,25,yes sir,35
romance,26,every body,35
romance,27,mr mrs,34
romance,28,much better,34
romance,29,could hardly,34
romance,30,sure would,34
romance,31,come back,34
romance,32,could make,34
romance,33,would like,34
romance,34,went away,33
romance,35,one could,33
romance,36,day two,33
romance,37,said nothing,33
romance,38,said miss,32
romance,39,well said,32
romance,40,soon afterwards,31
romance,41,would make,31
romance,42,mr would,30
romance,43,dining room,30
romance,44,could tell,30
romance,45,would go,28
romance,46,first time,28
romance,47,heading chapter,27
romance,48,take care,27
romance,49,could never,26
romance,50,illustration chapter,25
romance,51,shook head,25
romance,52,low voice,25
romance,53,thought would,25
romance,54,made answer,24
romance,55,oh yes,24
romance,56,young men,24
romance,57,oh dear,24
romance,58,know whether,24
romance,59,know well,24
romance,60,cannot tell,24
romance,61,uncle aunt,23
romance,62,thousand year,23
romance,63,make haste,23
romance,64,though could,23
romance,65,short time,23
romance,66,would take,23
romance,67,shall go,23
romance,68,miss miller,23
romance,69,mr st,23
romance,70,left room,23
romance,71,every one,23
romance,72,took place,22
romance,73,almost every,22
