partition_id,book,genre,avg_word_len,avg_sent_len,sent_len_std,type_token_ratio,punct_density,comma_ratio,semicolon_ratio,quote_density,avg_syllables,hapax_ratio
AutobiographyOfBenjaminFranklin_partition_a,AutobiographyOfBenjaminFranklin,biography,3.9130434782608696,23.0,17.71377367411523,0.49516908212560384,0.19082125603864733,0.0893719806763285,0.014492753623188406,0.03140096618357488,1.4275362318840579,0.7317073170731707
AutobiographyOfBenjaminFranklin_partition_b,AutobiographyOfBenjaminFranklin,biography,4.721393034825871,14.357142857142858,11.013674246506625,0.5621890547263682,0.14427860696517414,0.05472636815920398,0.0,0.012437810945273632,1.7064676616915422,0.7831858407079646
AutobiographyOfBenjaminFranklin_partition_c,AutobiographyOfBenjaminFranklin,biography,4.47394540942928,25.1875,25.372767758957632,0.5508684863523573,0.1513647642679901,0.06947890818858561,0.004962779156327543,0.02481389578163772,1.5756823821339951,0.7477477477477478
AutobiographyOfBenjaminFranklin_partition_d,AutobiographyOfBenjaminFranklin,biography,4.387254901960785,25.5,22.85825890132492,0.5784313725490197,0.18137254901960784,0.09803921568627451,0.00980392156862745,0.02696078431372549,1.5833333333333333,0.7711864406779662
AutobiographyOfBenjaminFranklin_partition_e,AutobiographyOfBenjaminFranklin,biography,4.339805825242719,25.75,19.1131499235474,0.5097087378640777,0.16747572815533981,0.0703883495145631,0.012135922330097087,0.04611650485436893,1.5728155339805825,0.7380952380952381
AutobiographyOfBenjaminFranklin_partition_f,AutobiographyOfBenjaminFranklin,biography,4.256723716381418,17.041666666666668,10.557300659838301,0.5599022004889975,0.22493887530562348,0.097799511002445,0.014669926650366748,0.044009779951100246,1.5207823960880196,0.7641921397379913
AutobiographyOfBenjaminFranklin_partition_g,AutobiographyOfBenjaminFranklin,biography,3.995169082125604,24.352941176470587,15.476514186000701,0.4758454106280193,0.20048309178743962,0.10869565217391304,0.012077294685990338,0.03140096618357488,1.4492753623188406,0.6852791878172588
AutobiographyOfBenjaminFranklin_partition_h,AutobiographyOfBenjaminFranklin,biography,4.186104218362283,36.63636363636363,11.32393063201456,0.4838709677419355,0.1935483870967742,0.14640198511166252,0.01488833746898263,0.0024813895781637717,1.4937965260545907,0.6820512820512821
AutobiographyOfBenjaminFranklin_partition_i,AutobiographyOfBenjaminFranklin,biography,4.071604938271605,31.153846153846153,23.320001826910318,0.5580246913580247,0.17777777777777778,0.11358024691358025,0.014814814814814815,0.019753086419753086,1.4172839506172838,0.7610619469026548
AutobiographyOfBenjaminFranklin_partition_j,AutobiographyOfBenjaminFranklin,biography,4.388888888888889,34.5,24.6525860712421,0.5169082125603864,0.18357487922705315,0.09903381642512077,0.0024154589371980675,0.050724637681159424,1.5869565217391304,0.7336448598130841
AutobiographyOfBenjaminFranklin_partition_k,AutobiographyOfBenjaminFranklin,biography,4.321608040201005,30.615384615384617,27.971244744279414,0.5226130653266332,0.1457286432160804,0.09547738693467336,0.005025125628140704,0.002512562814070352,1.5477386934673367,0.7259615384615384
AutobiographyOfBenjaminFranklin_partition_l,AutobiographyOfBenjaminFranklin,biography,4.443890274314215,33.416666666666664,23.066781069080463,0.5561097256857855,0.15211970074812967,0.08478802992518704,0.00997506234413965,0.012468827930174564,1.6209476309226933,0.7757847533632287
