partition_id,book,genre,noun_ratio,verb_ratio,adj_ratio,adv_ratio,content_ratio,function_ratio,lexical_density,avg_morph_len,morph_len_var
AutobiographyOfBenjaminFranklin_partition_a,AutobiographyOfBenjaminFranklin,biography,0.21497584541062803,0.1859903381642512,0.050724637681159424,0.05555555555555555,0.5072463768115942,0.5748792270531401,0.5072463768115942,3.9130434782608696,5.369250157529931
AutobiographyOfBenjaminFranklin_partition_b,AutobiographyOfBenjaminFranklin,biography,0.30845771144278605,0.14427860696517414,0.08955223880597014,0.03980099502487562,0.582089552238806,0.4900497512437811,0.582089552238806,4.721393034825871,8.623870696269893
AutobiographyOfBenjaminFranklin_partition_c,AutobiographyOfBenjaminFranklin,biography,0.23573200992555832,0.1687344913151365,0.07692307692307693,0.04218362282878412,0.5235732009925558,0.543424317617866,0.5235732009925558,4.47394540942928,6.353539520593071
AutobiographyOfBenjaminFranklin_partition_d,AutobiographyOfBenjaminFranklin,biography,0.22794117647058823,0.18382352941176472,0.061274509803921566,0.05392156862745098,0.5269607843137255,0.5367647058823529,0.5269607843137255,4.387254901960785,6.251994425221069
AutobiographyOfBenjaminFranklin_partition_e,AutobiographyOfBenjaminFranklin,biography,0.25485436893203883,0.16747572815533981,0.06553398058252427,0.05339805825242718,0.5412621359223301,0.5412621359223301,0.5412621359223301,4.339805825242719,6.467056272975775
AutobiographyOfBenjaminFranklin_partition_f,AutobiographyOfBenjaminFranklin,biography,0.23471882640586797,0.18337408312958436,0.08801955990220049,0.05623471882640587,0.5623471882640587,0.5183374083129584,0.5623471882640587,4.256723716381418,5.305731075256604
AutobiographyOfBenjaminFranklin_partition_g,AutobiographyOfBenjaminFranklin,biography,0.21014492753623187,0.18840579710144928,0.06038647342995169,0.06521739130434782,0.5241545893719807,0.5772946859903382,0.5241545893719807,3.995169082125604,5.2463534738266935
AutobiographyOfBenjaminFranklin_partition_h,AutobiographyOfBenjaminFranklin,biography,0.22084367245657568,0.17369727047146402,0.07692307692307693,0.04962779156327544,0.5210918114143921,0.5285359801488834,0.5210918114143921,4.186104218362283,5.546010381198086
AutobiographyOfBenjaminFranklin_partition_i,AutobiographyOfBenjaminFranklin,biography,0.23703703703703705,0.17037037037037037,0.06419753086419754,0.06172839506172839,0.5333333333333333,0.5580246913580247,0.5333333333333333,4.071604938271605,4.382527053802774
AutobiographyOfBenjaminFranklin_partition_j,AutobiographyOfBenjaminFranklin,biography,0.21739130434782608,0.1932367149758454,0.07004830917874397,0.05314009661835749,0.533816425120773,0.5652173913043478,0.533816425120773,4.388888888888889,6.290794417606011
AutobiographyOfBenjaminFranklin_partition_k,AutobiographyOfBenjaminFranklin,biography,0.2663316582914573,0.16331658291457288,0.04020100502512563,0.04271356783919598,0.5125628140703518,0.535175879396985,0.5125628140703518,4.321608040201005,6.12772404737254
AutobiographyOfBenjaminFranklin_partition_l,AutobiographyOfBenjaminFranklin,biography,0.22194513715710723,0.17206982543640897,0.06733167082294264,0.057356608478802994,0.5187032418952618,0.5261845386533666,0.5187032418952618,4.443890274314215,6.870293095192194
AutobiographyOfBenjaminFranklin_partition_m,AutobiographyOfBenjaminFranklin,biography,0.22384428223844283,0.17761557177615572,0.058394160583941604,0.04866180048661801,0.5085158150851582,0.5790754257907542,0.5085158150851582,3.9124087591240877,4.29403093753885
AutobiographyOfBenjaminFranklin_partition_n,AutobiographyOfBenjaminFranklin,biography,0.19315403422982885,0.20048899755501223,0.05867970660146699,0.03178484107579462,0.4841075794621027,0.589242053789731,0.4841075794621027,4.002444987775061,5.298282530592237
AutobiographyOfBenjaminFranklin_partition_o,AutobiographyOfBenjaminFranklin,biography,0.1921182266009852,0.19704433497536947,0.0960591133004926,0.07142857142857142,0.5566502463054187,0.5467980295566502,0.5566502463054187,4.431034482758621,6.85115508748089
AutobiographyOfBenjaminFranklin_partition_p,AutobiographyOfBenjaminFranklin,biography,0.23170731707317074,0.1975609756097561,0.06097560975609756,0.05609756097560976,0.5463414634146342,0.5682926829268292,0.5463414634146342,4.190243902439025,6.617465794170136
AutobiographyOfBenjaminFranklin_partition_q,AutobiographyOfBenjaminFranklin,biography,0.27860696517412936,0.14925373134328357,0.06218905472636816,0.04975124378109453,0.5398009950248757,0.5298507462686567,0.5398009950248757,4.509950248756219,7.050896017425311
AutobiographyOfBenjaminFranklin_partition_r,AutobiographyOfBenjaminFranklin,biography,0.23209876543209876,0.1506172839506173,0.07654320987654321,0.04691358024691358,0.5061728395061729,0.5530864197530864,0.5061728395061729,4.269135802469136,6.201639993903369
AutobiographyOfBenjaminFranklin_partition_s,AutobiographyOfBenjaminFranklin,biography,0.25307125307125306,0.1547911547911548,0.07862407862407862,0.056511056511056514,0.542997542997543,0.5356265356265356,0.542997542997543,4.648648648648648,7.5202868716382225
AutobiographyOfBenjaminFranklin_partition_t,AutobiographyOfBenjaminFranklin,biography,0.22194513715710723,0.1770573566084788,0.06982543640897755,0.05486284289276808,0.5236907730673317,0.5236907730673317,0.5236907730673317,4.2269326683291775,5.831294581501359
