partition_id,book,genre,noun_ratio,verb_ratio,adj_ratio,adv_ratio,content_ratio,function_ratio,lexical_density,avg_morph_len,morph_len_var
10378_part_000,10378,biography,0.2729528535980149,0.12903225806451613,0.08933002481389578,0.03722084367245657,0.5285359801488834,0.533498759305211,0.5285359801488834,4.640198511166253,7.600071424613168
10378_part_001,10378,biography,0.18362282878411912,0.18610421836228289,0.08188585607940446,0.08684863523573201,0.5384615384615384,0.5459057071960298,0.5384615384615384,4.4987593052109185,7.05893146315783
10378_part_002,10378,biography,0.2119700748129676,0.12468827930174564,0.11970074812967581,0.0773067331670823,0.5336658354114713,0.5561097256857855,0.5336658354114713,4.623441396508728,7.152467957288823
10378_part_003,10378,biography,0.1925,0.1875,0.085,0.065,0.53,0.535,0.53,4.73,7.282100000000001
10378_part_004,10378,biography,0.3076923076923077,0.1315136476426799,0.07444168734491315,0.052109181141439205,0.56575682382134,0.46898263027295284,0.56575682382134,4.818858560794045,6.624756017215795
10378_part_005,10378,biography,0.228287841191067,0.17866004962779156,0.07196029776674938,0.04714640198511166,0.5260545905707196,0.543424317617866,0.5260545905707196,4.602977667493796,7.177360860543443
10378_part_006,10378,biography,0.22194513715710723,0.12219451371571072,0.11221945137157108,0.07481296758104738,0.5311720698254364,0.5211970074812967,0.5311720698254364,4.775561097256858,7.640400246267125
10378_part_007,10378,biography,0.26616915422885573,0.1517412935323383,0.07711442786069651,0.04228855721393035,0.5373134328358209,0.5298507462686567,0.5373134328358209,4.7835820895522385,7.58251652186827
10378_part_008,10378,biography,0.1770573566084788,0.17206982543640897,0.10723192019950124,0.0798004987531172,0.5361596009975063,0.5660847880299252,0.5361596009975063,4.596009975062344,7.238288319102493
10378_part_009,10378,biography,0.2119700748129676,0.1596009975062344,0.10723192019950124,0.07231920199501247,0.5511221945137157,0.5261845386533666,0.5511221945137157,4.860349127182045,7.297205863147617
10378_part_010,10378,biography,0.22693266832917705,0.13466334164588528,0.0773067331670823,0.057356608478802994,0.49625935162094764,0.5635910224438903,0.49625935162094764,4.581047381546135,8.1137555114707
10378_part_011,10378,biography,0.24146341463414633,0.12195121951219512,0.07804878048780488,0.08292682926829269,0.524390243902439,0.5341463414634147,0.524390243902439,4.443902439024391,7.178560380725758
10378_part_012,10378,biography,0.24815724815724816,0.12530712530712532,0.10073710073710074,0.05405405405405406,0.5282555282555282,0.5601965601965602,0.5282555282555282,4.545454545454546,7.319186955550592
10378_part_013,10378,biography,0.23134328358208955,0.15671641791044777,0.07462686567164178,0.0472636815920398,0.5099502487562189,0.5323383084577115,0.5099502487562189,4.6840796019900495,7.3902440533650156
10378_part_014,10378,biography,0.23209876543209876,0.16049382716049382,0.07407407407407407,0.04691358024691358,0.5135802469135803,0.5358024691358024,0.5135802469135803,4.619753086419753,7.287511050144795
10378_part_015,10378,biography,0.20099255583126552,0.18610421836228289,0.05955334987593052,0.04962779156327544,0.49627791563275436,0.5508684863523573,0.49627791563275436,4.511166253101737,7.470718987248243
10378_part_016,10378,biography,0.2074074074074074,0.18518518518518517,0.08888888888888889,0.05432098765432099,0.5358024691358024,0.5308641975308642,0.5358024691358024,4.434567901234568,6.408681603414114
10378_part_017,10378,biography,0.22332506203473945,0.19851116625310175,0.07196029776674938,0.03225806451612903,0.5260545905707196,0.5533498759305211,0.5260545905707196,4.672456575682382,7.833161955310358
10378_part_018,10378,biography,0.23880597014925373,0.1318407960199005,0.0945273631840796,0.0472636815920398,0.5124378109452736,0.5572139303482587,0.5124378109452736,4.487562189054726,7.846860226232024
10378_part_019,10378,biography,0.2537313432835821,0.13432835820895522,0.08208955223880597,0.04975124378109453,0.5199004975124378,0.5447761194029851,0.5199004975124378,4.708955223880597,7.664049157199079
10378_part_020,10378,biography,0.21144278606965175,0.13930348258706468,0.11442786069651742,0.08208955223880597,0.5472636815920398,0.5398009950248757,0.5472636815920398,4.644278606965174,7.055054330338358
10378_part_021,10378,biography,0.2967581047381546,0.12219451371571072,0.07231920199501247,0.02743142144638404,0.5187032418952618,0.5112219451371571,0.5187032418952618,4.615960099750623,6.2664784422982445
10378_part_022,10378,biography,0.17206982543640897,0.1546134663341646,0.09226932668329177,0.07231920199501247,0.4912718204488778,0.5660847880299252,0.4912718204488778,4.394014962593516,6.5130813863097865
10378_part_023,10378,biography,0.20698254364089774,0.15211970074812967,0.06733167082294264,0.04488778054862843,0.4713216957605985,0.5610972568578554,0.4713216957605985,4.346633416458853,6.455905124968128
10378_part_024,10378,biography,0.2194513715710723,0.15211970074812967,0.0798004987531172,0.05486284289276808,0.5062344139650873,0.5660847880299252,0.5062344139650873,4.531172069825437,7.266484661165042
10378_part_025,10378,biography,0.28287841191067,0.1488833746898263,0.06947890818858561,0.04218362282878412,0.543424317617866,0.5508684863523573,0.543424317617866,4.496277915632755,7.014254136162405
10378_part_026,10378,biography,0.20603015075376885,0.16834170854271358,0.09547738693467336,0.07788944723618091,0.5477386934673367,0.535175879396985,0.5477386934673367,4.869346733668341,7.168859372238075
10378_part_027,10378,biography,0.18952618453865336,0.16458852867830423,0.11471321695760599,0.06733167082294264,0.5361596009975063,0.5586034912718204,0.5361596009975063,4.753117206982544,7.816854372796189
10378_part_028,10378,biography,0.215,0.14,0.075,0.0425,0.4725,0.55,0.4725,4.4025,6.640493750000001
10378_part_029,10378,biography,0.2925,0.1175,0.075,0.05,0.535,0.5325,0.535,4.6775,7.13849375
10378_part_030,10378,biography,0.24754901960784315,0.14705882352941177,0.10294117647058823,0.049019607843137254,0.5465686274509803,0.5220588235294118,0.5465686274509803,4.818627450980392,7.878868704344483
10378_part_031,10378,biography,0.2512437810945274,0.11940298507462686,0.1318407960199005,0.04975124378109453,0.5522388059701493,0.5199004975124378,0.5522388059701493,4.893034825870647,7.384080839583178
10378_part_032,10378,biography,0.2263681592039801,0.12189054726368159,0.11194029850746269,0.06965174129353234,0.5298507462686567,0.5199004975124378,0.5298507462686567,4.691542288557214,7.651122496967897
10378_part_033,10378,biography,0.2103960396039604,0.15841584158415842,0.09653465346534654,0.04950495049504951,0.5148514851485149,0.5891089108910891,0.5148514851485149,4.455445544554456,7.460886187628663
10378_part_034,10378,biography,0.19651741293532338,0.1517412935323383,0.08955223880597014,0.0472636815920398,0.48507462686567165,0.582089552238806,0.48507462686567165,4.6318407960199,7.909234919927725
10378_part_035,10378,biography,0.3316708229426434,0.09476309226932668,0.08728179551122195,0.029925187032418952,0.543640897755611,0.48877805486284287,0.543640897755611,4.598503740648379,7.497154868439872
10378_part_036,10378,biography,0.225,0.1325,0.0925,0.045,0.495,0.5775,0.495,4.51,7.3949
10378_part_037,10378,biography,0.23057644110275688,0.13784461152882205,0.11278195488721804,0.05764411027568922,0.5388471177944862,0.5263157894736842,0.5388471177944862,5.017543859649122,9.576133315745505
10378_part_038,10378,biography,0.20843672456575682,0.1488833746898263,0.10918114143920596,0.06699751861042183,0.533498759305211,0.543424317617866,0.533498759305211,4.568238213399503,5.873135109507478
10378_part_039,10378,biography,0.24129353233830847,0.11940298507462686,0.07213930348258707,0.05472636815920398,0.48756218905472637,0.572139303482587,0.48756218905472637,4.557213930348259,7.9830449741343035
10378_part_040,10378,biography,0.2456575682382134,0.13647642679900746,0.09429280397022333,0.06699751861042183,0.543424317617866,0.5186104218362283,0.543424317617866,4.9503722084367245,9.421854700170556
10378_part_041,10378,biography,0.22055137844611528,0.18295739348370926,0.09774436090225563,0.03007518796992481,0.531328320802005,0.5388471177944862,0.531328320802005,4.802005012531328,7.5171889623808905
10378_part_042,10378,biography,0.19298245614035087,0.13784461152882205,0.10025062656641603,0.07268170426065163,0.5037593984962406,0.5538847117794486,0.5037593984962406,4.614035087719298,7.485116299520731
10378_part_043,10378,biography,0.20595533498759305,0.1513647642679901,0.08188585607940446,0.06699751861042183,0.5062034739454094,0.5781637717121588,0.5062034739454094,4.66501240694789,8.044110855925473
10378_part_044,10378,biography,0.21588089330024815,0.13895781637717122,0.08933002481389578,0.0794044665012407,0.5235732009925558,0.5409429280397022,0.5235732009925558,4.7245657568238215,7.430339451631375
10378_part_045,10378,biography,0.23690773067331672,0.1571072319201995,0.0798004987531172,0.057356608478802994,0.5311720698254364,0.5361596009975063,0.5311720698254364,4.905236907730673,8.385034918937071
10378_part_046,10378,biography,0.22194513715710723,0.13466334164588528,0.10972568578553615,0.05486284289276808,0.5211970074812967,0.5261845386533666,0.5211970074812967,4.748129675810474,6.662247125328823
10378_part_047,10378,biography,0.2075,0.14,0.0775,0.06,0.485,0.57,0.485,4.5525,7.80224375
10378_part_048,10378,biography,0.1975,0.145,0.0925,0.0675,0.5025,0.57,0.5025,4.3425,6.830193749999999
10378_part_049,10378,biography,0.2103960396039604,0.1782178217821782,0.08415841584158416,0.04455445544554455,0.5173267326732673,0.5495049504950495,0.5173267326732673,4.77970297029703,7.592558327614939
10378_part_050,10378,biography,0.27,0.115,0.05,0.0525,0.4875,0.535,0.4875,4.82,8.2826
10378_part_051,10378,biography,0.24120603015075376,0.12060301507537688,0.10552763819095477,0.0829145728643216,0.550251256281407,0.48743718592964824,0.550251256281407,4.8542713567839195,7.235044569581576
10378_part_052,10378,biography,0.21836228287841192,0.141439205955335,0.10669975186104218,0.05707196029776675,0.5235732009925558,0.5508684863523573,0.5235732009925558,4.739454094292804,7.666607146155694
10378_part_053,10378,biography,0.2531017369727047,0.12406947890818859,0.09429280397022333,0.05955334987593052,0.5310173697270472,0.5161290322580645,0.5310173697270472,4.73697270471464,7.245953118361666
10378_part_054,10378,biography,0.23950617283950618,0.16049382716049382,0.07654320987654321,0.04938271604938271,0.5259259259259259,0.5308641975308642,0.5259259259259259,4.617283950617284,7.253528425544887
10378_part_055,10378,biography,0.28217821782178215,0.10396039603960396,0.10891089108910891,0.04702970297029703,0.5420792079207921,0.5074257425742574,0.5420792079207921,4.742574257425742,8.334722086069993
10378_part_056,10378,biography,0.19154228855721392,0.1517412935323383,0.0945273631840796,0.04477611940298507,0.48258706467661694,0.5895522388059702,0.48258706467661694,4.587064676616915,7.799633672433851
10378_part_057,10378,biography,0.2125,0.1425,0.0675,0.045,0.4675,0.555,0.4675,4.39,6.462899999999999
10378_part_058,10378,biography,0.245,0.1675,0.1025,0.055,0.57,0.505,0.57,4.8925,7.19094375
10378_part_059,10378,biography,0.21339950372208435,0.13895781637717122,0.09181141439205956,0.06947890818858561,0.5136476426799007,0.5632754342431762,0.5136476426799007,4.553349875930521,7.785615329199736
10378_part_060,10378,biography,0.20947630922693267,0.15211970074812967,0.08977556109725686,0.06234413965087282,0.513715710723192,0.543640897755611,0.513715710723192,4.630922693266833,7.3799914179638195
10378_part_061,10378,biography,0.2344139650872818,0.12718204488778054,0.09725685785536159,0.04239401496259352,0.5012468827930174,0.5660847880299252,0.5012468827930174,4.538653366583541,7.081423622987419
10378_part_062,10378,biography,0.23425692695214106,0.1486146095717884,0.07808564231738035,0.037783375314861464,0.4987405541561713,0.5491183879093199,0.4987405541561713,4.687657430730479,7.972971086676522
10378_part_063,10378,biography,0.2681704260651629,0.14285714285714285,0.09273182957393483,0.05513784461152882,0.5588972431077694,0.5137844611528822,0.5588972431077694,4.81203007518797,8.057399136940095
10378_part_064,10378,biography,0.22443890274314215,0.14962593516209477,0.08728179551122195,0.06483790523690773,0.5261845386533666,0.5486284289276808,0.5261845386533666,4.648379052369077,7.315265452329276
10378_part_065,10378,biography,0.2144638403990025,0.16209476309226933,0.08728179551122195,0.04738154613466334,0.5112219451371571,0.5586034912718204,0.5112219451371571,4.748129675810474,7.2457882724609926
10378_part_066,10378,biography,0.2506203473945409,0.13399503722084366,0.09429280397022333,0.062034739454094295,0.5409429280397022,0.5260545905707196,0.5409429280397022,4.506203473945409,6.9447505987968645
10378_part_067,10378,biography,0.26184538653366585,0.14713216957605985,0.06982543640897755,0.05236907730673317,0.5311720698254364,0.5261845386533666,0.5311720698254364,4.643391521197008,7.202007450202424
10378_part_068,10378,biography,0.2,0.1825,0.085,0.06,0.5275,0.5325,0.5275,4.75,7.3025
10378_part_069,10378,biography,0.2169576059850374,0.1371571072319202,0.10224438902743142,0.03740648379052369,0.4937655860349127,0.5461346633416458,0.4937655860349127,4.728179551122195,7.978482720878601
10378_part_070,10378,biography,0.23267326732673269,0.17574257425742573,0.09900990099009901,0.04702970297029703,0.5544554455445545,0.5074257425742574,0.5544554455445545,4.891089108910891,8.64160376433683
10378_part_071,10378,biography,0.19154228855721392,0.15671641791044777,0.0845771144278607,0.04975124378109453,0.48258706467661694,0.5746268656716418,0.48258706467661694,4.654228855721393,8.201337838172323
10378_part_072,10378,biography,0.2263681592039801,0.14925373134328357,0.12189054726368159,0.06467661691542288,0.5621890547263682,0.5348258706467661,0.5621890547263682,4.840796019900497,7.929877973317492
10378_part_073,10378,biography,0.1770573566084788,0.1970074812967581,0.09226932668329177,0.06733167082294264,0.5336658354114713,0.5760598503740648,0.5336658354114713,4.665835411471321,7.918259214805878
10378_part_074,10378,biography,0.24060150375939848,0.14536340852130325,0.08771929824561403,0.045112781954887216,0.518796992481203,0.5238095238095238,0.518796992481203,4.706766917293233,6.954114609832852
10378_part_075,10378,biography,0.1919191919191919,0.16666666666666666,0.06060606060606061,0.05808080808080808,0.4772727272727273,0.5505050505050505,0.4772727272727273,4.623737373737374,7.48721431486583
10378_part_076,10378,biography,0.195,0.1725,0.0825,0.08,0.53,0.555,0.53,4.53,7.169099999999999
10378_part_077,10378,biography,0.22110552763819097,0.1507537688442211,0.09547738693467336,0.0829145728643216,0.550251256281407,0.507537688442211,0.550251256281407,5.0,8.010050251256281
10378_part_078,10378,biography,0.215,0.1375,0.0825,0.0575,0.4925,0.57,0.4925,4.6,8.165
10378_part_079,10378,biography,0.18407960199004975,0.1417910447761194,0.09701492537313433,0.07711442786069651,0.5,0.6019900497512438,0.5,4.3606965174129355,7.190793544714239
10378_part_080,10378,biography,0.2263681592039801,0.15920398009950248,0.09950248756218906,0.05970149253731343,0.5447761194029851,0.5472636815920398,0.5447761194029851,4.514925373134329,6.702513551644762
10378_part_081,10378,biography,0.22693266832917705,0.14214463840399003,0.10473815461346633,0.05486284289276808,0.5286783042394015,0.5486284289276808,0.5286783042394015,4.690773067331671,7.789665487154931
10378_part_082,10378,biography,0.228287841191067,0.1761786600496278,0.0794044665012407,0.052109181141439205,0.5359801488833746,0.5583126550868487,0.5359801488833746,4.687344913151365,7.455596672598194
