partition_id,book,genre,avg_word_len,avg_sent_len,sent_len_std,type_token_ratio,punct_density,comma_ratio,semicolon_ratio,quote_density,avg_syllables,hapax_ratio
10378_part_000,10378,biography,4.640198511166253,26.866666666666667,17.503777370105638,0.5210918114143921,0.1687344913151365,0.08684863523573201,0.007444168734491315,0.03225806451612903,1.6426799007444168,0.7428571428571429
10378_part_001,10378,biography,4.4987593052109185,28.785714285714285,14.654002726844544,0.5037220843672456,0.16129032258064516,0.10669975186104218,0.007444168734491315,0.007444168734491315,1.6600496277915633,0.6995073891625616
10378_part_002,10378,biography,4.623441396508728,33.416666666666664,26.543857837339484,0.5211970074812967,0.10723192019950124,0.06483790523690773,0.007481296758104738,0.0,1.6907730673316708,0.6985645933014354
10378_part_003,10378,biography,4.73,44.44444444444444,33.29034264738419,0.525,0.145,0.095,0.015,0.0,1.73,0.7380952380952381
10378_part_004,10378,biography,4.818858560794045,26.866666666666667,13.124362418376325,0.5806451612903226,0.1662531017369727,0.10918114143920596,0.0024813895781637717,0.004962779156327543,1.7295285359801489,0.7435897435897436
10378_part_005,10378,biography,4.602977667493796,36.63636363636363,17.221934889039446,0.5409429280397022,0.1141439205955335,0.06451612903225806,0.007444168734491315,0.004962779156327543,1.682382133995037,0.7798165137614679
10378_part_006,10378,biography,4.775561097256858,66.83333333333333,44.71173099857451,0.5236907730673317,0.11970074812967581,0.08728179551122195,0.012468827930174564,0.0,1.7082294264339153,0.7047619047619048
10378_part_007,10378,biography,4.7835820895522385,44.666666666666664,17.562586496425986,0.5223880597014925,0.1417910447761194,0.08706467661691543,0.007462686567164179,0.007462686567164179,1.7412935323383085,0.7333333333333333
10378_part_008,10378,biography,4.596009975062344,33.416666666666664,20.406119724784087,0.5261845386533666,0.12468827930174564,0.08478802992518704,0.004987531172069825,0.0,1.6633416458852868,0.6824644549763034
10378_part_009,10378,biography,4.860349127182045,57.285714285714285,32.79248296142746,0.5586034912718204,0.10723192019950124,0.06483790523690773,0.0024937655860349127,0.004987531172069825,1.7481296758104738,0.7857142857142857
10378_part_010,10378,biography,4.581047381546135,33.416666666666664,16.565316846418067,0.5386533665835411,0.12219451371571072,0.06982543640897755,0.014962593516209476,0.0024937655860349127,1.660847880299252,0.7685185185185185
10378_part_011,10378,biography,4.443902439024391,34.166666666666664,15.279797846248565,0.5292682926829269,0.16585365853658537,0.09024390243902439,0.01707317073170732,0.01951219512195122,1.6097560975609757,0.7695852534562212
10378_part_012,10378,biography,4.545454545454546,37.0,31.68882797109761,0.5282555282555282,0.14496314496314497,0.07862407862407862,0.002457002457002457,0.0171990171990172,1.6461916461916462,0.7488372093023256
10378_part_013,10378,biography,4.6840796019900495,30.923076923076923,20.177906952756096,0.5522388059701493,0.11940298507462686,0.05970149253731343,0.012437810945273632,0.004975124378109453,1.7114427860696517,0.7117117117117117
10378_part_014,10378,biography,4.619753086419753,33.75,25.839649765428323,0.5185185185185185,0.1308641975308642,0.05925925925925926,0.012345679012345678,0.0049382716049382715,1.6864197530864198,0.6761904761904762
10378_part_015,10378,biography,4.511166253101737,40.3,18.520529150107997,0.533498759305211,0.13895781637717122,0.09181141439205956,0.004962779156327543,0.0024813895781637717,1.6476426799007444,0.7488372093023256
10378_part_016,10378,biography,4.434567901234568,28.928571428571427,17.555887436226893,0.5061728395061729,0.18024691358024691,0.1037037037037037,0.007407407407407408,0.012345679012345678,1.6444444444444444,0.7219512195121951
10378_part_017,10378,biography,4.672456575682382,33.583333333333336,21.788599210494365,0.5533498759305211,0.11910669975186104,0.06947890818858561,0.009925558312655087,0.0024813895781637717,1.6898263027295286,0.7443946188340808
