genre,rank,ngram,count
fantasy,90,mother behave well,5
fantasy,91,beautiful young lady,5
fantasy,92,search water life,5
fantasy,93,desired would give,5
fantasy,94,twenty feet high,5
fantasy,95,killed wicked witch,4
fantasy,96,oz great wizard,4
fantasy,97,go emerald city,4
fantasy,98,back kansas aunt,4
fantasy,99,give heart said,4
fantasy,100,good bye good,4
horror,1,dr seward diary,49
horror,2,chapter chapter chapter,22
horror,3,said mr utterson,16
horror,4,seward diary september,14
horror,5,harker journal october,14
horror,6,ugh ugh ugh,13
horror,7,seward diary october,11
horror,8,seward diary chapter,10
horror,9,harker journal september,9
horror,10,ha ha ha,9
horror,11,harker journal chapter,8
horror,12,let us go,8
horror,13,dr seward mr,7
horror,14,valley many colored,7
horror,15,many colored grass,7
horror,16,great old ones,5
horror,17,shook head said,5
horror,18,must fallen asleep,5
horror,19,went back room,5
horror,20,seward diary continued,5
horror,21,helsing dr seward,5
horror,22,lord godalming dr,5
horror,23,godalming dr seward,5
horror,24,actions man man,5
horror,25,letter mrs saville,4
horror,26,mrs saville england,4
horror,27,harker journal continued,4
horror,28,sharp white teeth,4
horror,29,covered face hands,4
horror,30,dr seward said,4
horror,31,tall thin man,4
horror,32,last night slept,4
horror,33,said mrs harker,4
horror,34,said dr seward,4
horror,35,poor dear madam,4
horror,36,forty five degrees,4
horror,37,placed hand upon,4
horror,38,observed actions man,4
horror,39,man man trembled,4
horror,40,man trembled solitude,4
horror,41,trembled solitude night,4
horror,42,solitude night waned,4
horror,43,night waned sat,4
horror,44,waned sat upon,4
horror,45,mr utterson sir,4
horror,46,branch natural philosophy,3
horror,47,return native country,3
horror,48,create another like,3
horror,49,guard evil eye,3
horror,50,around us could,3
horror,51,opened another door,3
horror,52,said take care,3
horror,53,went dining room,3
horror,54,white sharp teeth,3
horror,55,great wooden boxes,3
horror,56,wish could get,3
horror,57,lord godalming coming,3
horror,58,old mr swales,3
horror,59,schooner sails set,3
horror,60,look face could,3
horror,61,like old self,3
horror,62,sat edge bed,3
horror,63,solemn duty come,3
horror,64,good bye dear,3
horror,65,letter dr seward,3
horror,66,holmwood september dear,3
horror,67,dear old fellow,3
horror,68,must go back,3
horror,69,zo phagous patient,3
horror,70,telegram seward london,3
horror,71,helsing amsterdam september,3
horror,72,poor old fellow,3
horror,73,shall never know,3
horror,74,westenra diary september,3
horror,75,pall mall gazette,3
horror,76,zo logical gardens,3
horror,77,kept eyes fixed,3
horror,78,one old man,3
horror,79,god help us,3
horror,80,hand shoulder said,3
horror,81,held little golden,3
horror,82,little golden crucifix,3
horror,83,heart stood still,3
horror,84,took old man,3
horror,85,oh god god,3
horror,86,many long day,3
horror,87,helsing mrs harker,3
horror,88,dr seward study,3
horror,89,said lord godalming,3
horror,90,lord godalming said,3
horror,91,closed door behind,3
horror,92,asked could tell,3
horror,93,dear dear madam,3
horror,94,great kukri knife,3
horror,95,one earth box,3
horror,96,god alone knows,3
horror,97,lapping waves rushing,3
horror,98,waves rushing water,3
horror,99,harker journal november,3
horror,100,fifty thousand francs,3
romance,1,miss de bourgh,21
romance,2,said miss bingley,10
romance,3,ten thousand pounds,10
romance,4,without saying word,10
romance,5,said mrs dashwood,10
romance,6,mrs hurst miss,9
romance,7,hurst miss bingley,9
romance,8,little ad le,9
romance,9,capulet lady capulet,8
romance,10,two thousand year,8
romance,11,three thousand pounds,7
romance,12,mrs dashwood could,7
romance,13,miss dashwood said,7
romance,14,two thousand pounds,7
romance,15,almost every day,6
romance,16,let us hear,6
romance,17,thousand pounds would,6
romance,18,room capulet house,6
romance,19,lady capulet nurse,6
romance,20,twenty thousand pounds,6
romance,21,thirty thousand pounds,6
romance,22,seventy times seven,6
romance,23,three young ladies,5
romance,24,time mr bingley,5
romance,25,great deal good,5
romance,26,highest opinion world,5
romance,27,capulet house scene,5
romance,28,exeunt scene ii,5
romance,29,capulet house enter,5
romance,30,enter lady capulet,5
romance,31,cell enter friar,5
romance,32,day lady capulet,5
romance,33,right hand left,5
romance,34,poor orphan child,5
romance,35,two young ladies,5
romance,36,arms round neck,5
romance,37,five hundred year,5
romance,38,lady middleton mother,5
romance,39,said miss steele,5
romance,40,without opening lips,4
romance,41,entered breakfast room,4
romance,42,ten thousand year,4
romance,43,could think nothing,4
romance,44,mr bingley sister,4
romance,45,could think without,4
romance,46,since went away,4
romance,47,could hardly keep,4
romance,48,entered drawing room,4
romance,49,two three times,4
romance,50,returned drawing room,4
romance,51,scene public place,4
romance,52,scene iv street,4
romance,53,scene iii friar,4
romance,54,music silver sound,4
romance,55,three weeks ago,4
romance,56,said mr brocklehurst,4
romance,57,ad le came,4
romance,58,said mr st,4
romance,59,sir said mrs,4
romance,60,two hundred year,4
romance,61,first seventy first,4
romance,62,mrs linton said,4
romance,63,exclaimed mrs linton,4
romance,64,mrs dashwood daughters,4
romance,65,mrs dashwood would,4
romance,66,lady middleton mrs,4
