book,genre,rank,ngram,count
PrideAndPrejudice,romance,6,said,406
PrideAndPrejudice,romance,7,mrs,354
PrideAndPrejudice,romance,8,bennet,339
PrideAndPrejudice,romance,9,much,337
PrideAndPrejudice,romance,10,miss,315
PrideAndPrejudice,romance,11,must,315
PrideAndPrejudice,romance,12,bingley,310
PrideAndPrejudice,romance,13,jane,302
PrideAndPrejudice,romance,14,one,295
PrideAndPrejudice,romance,15,know,244
PrideAndPrejudice,romance,16,though,238
PrideAndPrejudice,romance,17,well,230
PrideAndPrejudice,romance,18,never,230
PrideAndPrejudice,romance,19,think,222
PrideAndPrejudice,romance,20,soon,217
PrideAndPrejudice,romance,21,sister,217
PrideAndPrejudice,romance,22,good,209
PrideAndPrejudice,romance,23,might,206
PrideAndPrejudice,romance,24,may,206
PrideAndPrejudice,romance,25,time,201
PrideAndPrejudice,romance,26,wickham,200
PrideAndPrejudice,romance,27,lady,198
PrideAndPrejudice,romance,28,little,192
PrideAndPrejudice,romance,29,collins,190
PrideAndPrejudice,romance,30,nothing,187
PrideAndPrejudice,romance,31,every,185
PrideAndPrejudice,romance,32,without,177
PrideAndPrejudice,romance,33,lydia,176
PrideAndPrejudice,romance,34,make,171
PrideAndPrejudice,romance,35,illustration,163
PrideAndPrejudice,romance,36,dear,163
PrideAndPrejudice,romance,37,shall,163
PrideAndPrejudice,romance,38,first,160
PrideAndPrejudice,romance,39,say,160
PrideAndPrejudice,romance,40,man,158
PrideAndPrejudice,romance,41,room,153
PrideAndPrejudice,romance,42,family,153
PrideAndPrejudice,romance,43,see,153
PrideAndPrejudice,romance,44,great,148
PrideAndPrejudice,romance,45,day,148
PrideAndPrejudice,romance,46,two,145
PrideAndPrejudice,romance,47,mother,137
PrideAndPrejudice,romance,48,however,136
PrideAndPrejudice,romance,49,ever,136
PrideAndPrejudice,romance,50,father,135
PrideAndPrejudice,romance,51,young,133
PrideAndPrejudice,romance,52,made,132
PrideAndPrejudice,romance,53,catherine,132
PrideAndPrejudice,romance,54,give,127
PrideAndPrejudice,romance,55,us,127
PrideAndPrejudice,romance,56,always,126
PrideAndPrejudice,romance,57,hope,125
PrideAndPrejudice,romance,58,many,121
PrideAndPrejudice,romance,59,away,121
PrideAndPrejudice,romance,60,long,119
PrideAndPrejudice,romance,61,last,119
PrideAndPrejudice,romance,62,letter,118
PrideAndPrejudice,romance,63,way,115
PrideAndPrejudice,romance,64,friend,115
PrideAndPrejudice,romance,65,cannot,114
PrideAndPrejudice,romance,66,thought,112
PrideAndPrejudice,romance,67,enough,111
PrideAndPrejudice,romance,68,house,110
PrideAndPrejudice,romance,69,go,107
PrideAndPrejudice,romance,70,felt,106
PrideAndPrejudice,romance,71,sure,106
PrideAndPrejudice,romance,72,replied,103
PrideAndPrejudice,romance,73,love,102
PrideAndPrejudice,romance,74,saw,102
PrideAndPrejudice,romance,75,indeed,100
PrideAndPrejudice,romance,76,quite,98
PrideAndPrejudice,romance,77,better,98
PrideAndPrejudice,romance,78,wish,98
PrideAndPrejudice,romance,79,come,98
PrideAndPrejudice,romance,80,manner,97
PrideAndPrejudice,romance,81,lizzy,97
PrideAndPrejudice,romance,82,gardiner,97
PrideAndPrejudice,romance,83,till,96
PrideAndPrejudice,romance,84,even,95
PrideAndPrejudice,romance,85,pleasure,94
PrideAndPrejudice,romance,86,came,94
PrideAndPrejudice,romance,87,done,93
PrideAndPrejudice,romance,88,oh,93
PrideAndPrejudice,romance,89,feelings,92
PrideAndPrejudice,romance,90,often,92
PrideAndPrejudice,romance,91,really,91
PrideAndPrejudice,romance,92,cried,91
PrideAndPrejudice,romance,93,believe,90
PrideAndPrejudice,romance,94,perhaps,89
PrideAndPrejudice,romance,95,like,89
PrideAndPrejudice,romance,96,chapter,89
PrideAndPrejudice,romance,97,aunt,88
PrideAndPrejudice,romance,98,longbourn,88
PrideAndPrejudice,romance,99,subject,87
PrideAndPrejudice,romance,100,charlotte,87
OnTheTrailOfTheSpacePirates,sci-fi,1,tom,512
OnTheTrailOfTheSpacePirates,sci-fi,2,strong,506
OnTheTrailOfTheSpacePirates,sci-fi,3,roger,305
OnTheTrailOfTheSpacePirates,sci-fi,4,said,301
OnTheTrailOfTheSpacePirates,sci-fi,5,astro,294
OnTheTrailOfTheSpacePirates,sci-fi,6,coxine,291
OnTheTrailOfTheSpacePirates,sci-fi,7,ship,248
OnTheTrailOfTheSpacePirates,sci-fi,8,space,240
OnTheTrailOfTheSpacePirates,sci-fi,9,one,209
OnTheTrailOfTheSpacePirates,sci-fi,10,sir,189
OnTheTrailOfTheSpacePirates,sci-fi,11,solar,176
OnTheTrailOfTheSpacePirates,sci-fi,12,two,160
OnTheTrailOfTheSpacePirates,sci-fi,13,wallace,156
OnTheTrailOfTheSpacePirates,sci-fi,14,get,149
OnTheTrailOfTheSpacePirates,sci-fi,15,turned,147
OnTheTrailOfTheSpacePirates,sci-fi,16,guard,146
OnTheTrailOfTheSpacePirates,sci-fi,17,captain,136
OnTheTrailOfTheSpacePirates,sci-fi,18,man,133
OnTheTrailOfTheSpacePirates,sci-fi,19,back,133
OnTheTrailOfTheSpacePirates,sci-fi,20,three,125
OnTheTrailOfTheSpacePirates,sci-fi,21,cadets,124
OnTheTrailOfTheSpacePirates,sci-fi,22,right,122
OnTheTrailOfTheSpacePirates,sci-fi,23,could,121
OnTheTrailOfTheSpacePirates,sci-fi,24,simms,119
OnTheTrailOfTheSpacePirates,sci-fi,25,deck,118
OnTheTrailOfTheSpacePirates,sci-fi,26,cadet,110
OnTheTrailOfTheSpacePirates,sci-fi,27,asked,108
OnTheTrailOfTheSpacePirates,sci-fi,28,men,107
OnTheTrailOfTheSpacePirates,sci-fi,29,would,105
OnTheTrailOfTheSpacePirates,sci-fi,30,around,101
OnTheTrailOfTheSpacePirates,sci-fi,31,blast,94
OnTheTrailOfTheSpacePirates,sci-fi,32,control,92
OnTheTrailOfTheSpacePirates,sci-fi,33,polaris,91
OnTheTrailOfTheSpacePirates,sci-fi,34,take,89
OnTheTrailOfTheSpacePirates,sci-fi,35,know,89
OnTheTrailOfTheSpacePirates,sci-fi,36,got,88
OnTheTrailOfTheSpacePirates,sci-fi,37,replied,85
OnTheTrailOfTheSpacePirates,sci-fi,38,radar,85
OnTheTrailOfTheSpacePirates,sci-fi,39,well,84
OnTheTrailOfTheSpacePirates,sci-fi,40,away,84
OnTheTrailOfTheSpacePirates,sci-fi,41,suddenly,80
OnTheTrailOfTheSpacePirates,sci-fi,42,hawks,79
OnTheTrailOfTheSpacePirates,sci-fi,43,asteroid,78
OnTheTrailOfTheSpacePirates,sci-fi,44,going,77
OnTheTrailOfTheSpacePirates,sci-fi,45,jet,77
OnTheTrailOfTheSpacePirates,sci-fi,46,like,76
OnTheTrailOfTheSpacePirates,sci-fi,47,see,76
OnTheTrailOfTheSpacePirates,sci-fi,48,looked,73
OnTheTrailOfTheSpacePirates,sci-fi,49,eyes,71
OnTheTrailOfTheSpacePirates,sci-fi,50,time,68
OnTheTrailOfTheSpacePirates,sci-fi,51,rocket,67
OnTheTrailOfTheSpacePirates,sci-fi,52,pirate,66
