book,genre,rank,ngram,count
TheWonderfulWizardOfOz,fantasy,97,get brains,6
TheWonderfulWizardOfOz,fantasy,98,us said,6
TheWonderfulWizardOfOz,fantasy,99,asked tin,6
TheWonderfulWizardOfOz,fantasy,100,made tin,6
PrideAndPrejudice,romance,1,mr darcy,277
PrideAndPrejudice,romance,2,mr collins,160
PrideAndPrejudice,romance,3,mrs bennet,160
PrideAndPrejudice,romance,4,lady catherine,122
PrideAndPrejudice,romance,5,mr bingley,116
PrideAndPrejudice,romance,6,mr bennet,92
PrideAndPrejudice,romance,7,miss bingley,87
PrideAndPrejudice,romance,8,mr wickham,68
PrideAndPrejudice,romance,9,miss bennet,67
PrideAndPrejudice,romance,10,mrs gardiner,57
PrideAndPrejudice,romance,11,said elizabeth,46
PrideAndPrejudice,romance,12,sir william,44
PrideAndPrejudice,romance,13,de bourgh,41
PrideAndPrejudice,romance,14,miss darcy,40
PrideAndPrejudice,romance,15,young man,38
PrideAndPrejudice,romance,16,george allen,37
PrideAndPrejudice,romance,17,copyright george,35
PrideAndPrejudice,romance,18,mr gardiner,34
PrideAndPrejudice,romance,19,dare say,30
PrideAndPrejudice,romance,20,colonel fitzwilliam,30
PrideAndPrejudice,romance,21,mrs collins,29
PrideAndPrejudice,romance,22,young ladies,28
PrideAndPrejudice,romance,23,heading chapter,27
PrideAndPrejudice,romance,24,colonel forster,27
PrideAndPrejudice,romance,25,elizabeth could,26
PrideAndPrejudice,romance,26,miss austen,25
PrideAndPrejudice,romance,27,miss lucas,25
PrideAndPrejudice,romance,28,illustration chapter,24
PrideAndPrejudice,romance,29,great deal,24
PrideAndPrejudice,romance,30,went away,23
PrideAndPrejudice,romance,31,cried elizabeth,23
PrideAndPrejudice,romance,32,uncle aunt,23
PrideAndPrejudice,romance,33,miss de,21
PrideAndPrejudice,romance,34,said mrs,21
PrideAndPrejudice,romance,35,mrs hurst,21
PrideAndPrejudice,romance,36,mr mrs,20
PrideAndPrejudice,romance,37,could help,20
PrideAndPrejudice,romance,38,thousand pounds,20
PrideAndPrejudice,romance,39,half hour,20
PrideAndPrejudice,romance,40,mrs philips,20
PrideAndPrejudice,romance,41,replied elizabeth,19
PrideAndPrejudice,romance,42,next morning,19
PrideAndPrejudice,romance,43,lady lucas,18
PrideAndPrejudice,romance,44,said mr,18
PrideAndPrejudice,romance,45,said miss,18
PrideAndPrejudice,romance,46,let us,17
PrideAndPrejudice,romance,47,made answer,17
PrideAndPrejudice,romance,48,much better,17
PrideAndPrejudice,romance,49,drawing room,17
PrideAndPrejudice,romance,50,young lady,16
PrideAndPrejudice,romance,51,soon afterwards,16
PrideAndPrejudice,romance,52,dear lizzy,16
PrideAndPrejudice,romance,53,catherine de,15
PrideAndPrejudice,romance,54,two three,15
PrideAndPrejudice,romance,55,mrs long,15
PrideAndPrejudice,romance,56,every day,15
PrideAndPrejudice,romance,57,whole party,15
PrideAndPrejudice,romance,58,next day,15
PrideAndPrejudice,romance,59,depend upon,14
PrideAndPrejudice,romance,60,would never,14
PrideAndPrejudice,romance,61,elizabeth felt,14
PrideAndPrejudice,romance,62,could think,14
PrideAndPrejudice,romance,63,said jane,14
PrideAndPrejudice,romance,64,illustration elizabeth,14
PrideAndPrejudice,romance,65,jane elizabeth,13
PrideAndPrejudice,romance,66,miss elizabeth,13
PrideAndPrejudice,romance,67,allen chapter,13
PrideAndPrejudice,romance,68,good humour,13
PrideAndPrejudice,romance,69,oh yes,13
PrideAndPrejudice,romance,70,young men,12
PrideAndPrejudice,romance,71,nothing could,12
PrideAndPrejudice,romance,72,mr hurst,12
PrideAndPrejudice,romance,73,oh dear,12
PrideAndPrejudice,romance,74,could hardly,12
PrideAndPrejudice,romance,75,mrs forster,12
PrideAndPrejudice,romance,76,much love,11
PrideAndPrejudice,romance,77,ten thousand,11
PrideAndPrejudice,romance,78,never saw,11
PrideAndPrejudice,romance,79,never heard,11
