book,genre,rank,ngram,count
TheWonderfulWizardOfOz,fantasy,99,witch said,5
TheWonderfulWizardOfOz,fantasy,100,looked saw,5
PrideAndPrejudice,romance,1,lady catherine,122
PrideAndPrejudice,romance,2,sir william,44
PrideAndPrejudice,romance,3,de bourgh,41
PrideAndPrejudice,romance,4,young man,38
PrideAndPrejudice,romance,5,george allen,37
PrideAndPrejudice,romance,6,copyright george,35
PrideAndPrejudice,romance,7,dare say,30
PrideAndPrejudice,romance,8,colonel fitzwilliam,30
PrideAndPrejudice,romance,9,young ladies,28
PrideAndPrejudice,romance,10,colonel forster,28
PrideAndPrejudice,romance,11,heading chapter,27
PrideAndPrejudice,romance,12,miss austen,25
PrideAndPrejudice,romance,13,miss lucas,25
PrideAndPrejudice,romance,14,great deal,24
PrideAndPrejudice,romance,15,went away,23
PrideAndPrejudice,romance,16,uncle aunt,23
PrideAndPrejudice,romance,17,miss de,21
PrideAndPrejudice,romance,18,thousand pounds,20
PrideAndPrejudice,romance,19,half hour,20
PrideAndPrejudice,romance,20,said miss,20
PrideAndPrejudice,romance,21,next morning,19
PrideAndPrejudice,romance,22,lady lucas,18
PrideAndPrejudice,romance,23,let us,17
PrideAndPrejudice,romance,24,made answer,17
PrideAndPrejudice,romance,25,much better,17
PrideAndPrejudice,romance,26,drawing room,17
PrideAndPrejudice,romance,27,young lady,16
PrideAndPrejudice,romance,28,soon afterwards,16
PrideAndPrejudice,romance,29,dear lizzy,16
PrideAndPrejudice,romance,30,catherine de,15
PrideAndPrejudice,romance,31,two three,15
PrideAndPrejudice,romance,32,every day,15
PrideAndPrejudice,romance,33,whole party,15
PrideAndPrejudice,romance,34,next day,15
PrideAndPrejudice,romance,35,depend upon,14
PrideAndPrejudice,romance,36,allen chapter,13
PrideAndPrejudice,romance,37,good humour,13
PrideAndPrejudice,romance,38,oh yes,13
PrideAndPrejudice,romance,39,young men,12
PrideAndPrejudice,romance,40,oh dear,12
PrideAndPrejudice,romance,41,much love,11
PrideAndPrejudice,romance,42,ten thousand,11
PrideAndPrejudice,romance,43,never saw,11
PrideAndPrejudice,romance,44,never heard,11
PrideAndPrejudice,romance,45,think ill,11
PrideAndPrejudice,romance,46,william lucas,10
PrideAndPrejudice,romance,47,young woman,10
PrideAndPrejudice,romance,48,last night,10
PrideAndPrejudice,romance,49,lizzy said,10
PrideAndPrejudice,romance,50,nothing say,10
PrideAndPrejudice,romance,51,dear sir,10
PrideAndPrejudice,romance,52,many years,10
PrideAndPrejudice,romance,53,kitty lydia,9
PrideAndPrejudice,romance,54,charlotte lucas,9
PrideAndPrejudice,romance,55,breakfast room,9
PrideAndPrejudice,romance,56,one day,9
PrideAndPrejudice,romance,57,must know,9
PrideAndPrejudice,romance,58,thousand year,9
PrideAndPrejudice,romance,59,come back,9
PrideAndPrejudice,romance,60,hurst miss,9
PrideAndPrejudice,romance,61,every moment,9
PrideAndPrejudice,romance,62,miss eliza,9
PrideAndPrejudice,romance,63,great pleasure,9
PrideAndPrejudice,romance,64,make haste,9
PrideAndPrejudice,romance,65,good opinion,9
PrideAndPrejudice,romance,66,took place,9
PrideAndPrejudice,romance,67,either side,9
PrideAndPrejudice,romance,68,much possible,9
PrideAndPrejudice,romance,69,gave way,9
PrideAndPrejudice,romance,70,nothing else,9
PrideAndPrejudice,romance,71,must make,9
PrideAndPrejudice,romance,72,take care,9
PrideAndPrejudice,romance,73,gracechurch street,9
PrideAndPrejudice,romance,74,good deal,8
PrideAndPrejudice,romance,75,one daughters,8
PrideAndPrejudice,romance,76,must go,8
PrideAndPrejudice,romance,77,upon word,8
PrideAndPrejudice,romance,78,younger sisters,8
PrideAndPrejudice,romance,79,situation life,8
PrideAndPrejudice,romance,80,may well,8
PrideAndPrejudice,romance,81,never seen,8
PrideAndPrejudice,romance,82,long enough,8
PrideAndPrejudice,romance,83,long ago,8
PrideAndPrejudice,romance,84,dining room,8
PrideAndPrejudice,romance,85,catherine daughter,8
PrideAndPrejudice,romance,86,shook head,8
PrideAndPrejudice,romance,87,take place,8
PrideAndPrejudice,romance,88,dear aunt,8
PrideAndPrejudice,romance,89,almost every,7
PrideAndPrejudice,romance,90,first place,7
PrideAndPrejudice,romance,91,know whether,7
PrideAndPrejudice,romance,92,dear said,7
PrideAndPrejudice,romance,93,good humoured,7
PrideAndPrejudice,romance,94,said father,7
PrideAndPrejudice,romance,95,one cannot,7
PrideAndPrejudice,romance,96,say something,7
PrideAndPrejudice,romance,97,two sisters,7
PrideAndPrejudice,romance,98,said must,7
PrideAndPrejudice,romance,99,whole family,7
PrideAndPrejudice,romance,100,catherine lydia,7
OnTheTrailOfTheSpacePirates,sci-fi,1,solar guard,132
OnTheTrailOfTheSpacePirates,sci-fi,2,said strong,74
OnTheTrailOfTheSpacePirates,sci-fi,3,captain strong,64
OnTheTrailOfTheSpacePirates,sci-fi,4,sir said,58
OnTheTrailOfTheSpacePirates,sci-fi,5,three cadets,57
OnTheTrailOfTheSpacePirates,sci-fi,6,air lock,44
OnTheTrailOfTheSpacePirates,sci-fi,7,control deck,43
OnTheTrailOfTheSpacePirates,sci-fi,8,jet boat,39
OnTheTrailOfTheSpacePirates,sci-fi,9,yes sir,37
OnTheTrailOfTheSpacePirates,sci-fi,10,paralo ray,36
OnTheTrailOfTheSpacePirates,sci-fi,11,power deck,34
OnTheTrailOfTheSpacePirates,sci-fi,12,space academy,31
OnTheTrailOfTheSpacePirates,sci-fi,13,radar bridge,31
OnTheTrailOfTheSpacePirates,sci-fi,14,asteroid belt,31
OnTheTrailOfTheSpacePirates,sci-fi,15,sir replied,26
OnTheTrailOfTheSpacePirates,sci-fi,16,two men,25
OnTheTrailOfTheSpacePirates,sci-fi,17,commander walters,25
OnTheTrailOfTheSpacePirates,sci-fi,18,replied strong,24
OnTheTrailOfTheSpacePirates,sci-fi,19,solar alliance,23
OnTheTrailOfTheSpacePirates,sci-fi,20,sir asked,23
OnTheTrailOfTheSpacePirates,sci-fi,21,asked strong,21
OnTheTrailOfTheSpacePirates,sci-fi,22,turned back,19
OnTheTrailOfTheSpacePirates,sci-fi,23,rocket cruiser,17
OnTheTrailOfTheSpacePirates,sci-fi,24,control panel,17
OnTheTrailOfTheSpacePirates,sci-fi,25,end transmission,17
OnTheTrailOfTheSpacePirates,sci-fi,26,ray gun,17
OnTheTrailOfTheSpacePirates,sci-fi,27,minutes later,16
OnTheTrailOfTheSpacePirates,sci-fi,28,light key,16
OnTheTrailOfTheSpacePirates,sci-fi,29,guard officer,15
OnTheTrailOfTheSpacePirates,sci-fi,30,rocket scout,15
OnTheTrailOfTheSpacePirates,sci-fi,31,prison asteroid,15
OnTheTrailOfTheSpacePirates,sci-fi,32,young cadet,14
OnTheTrailOfTheSpacePirates,sci-fi,33,polaris unit,14
OnTheTrailOfTheSpacePirates,sci-fi,34,turned away,14
OnTheTrailOfTheSpacePirates,sci-fi,35,haired cadet,14
OnTheTrailOfTheSpacePirates,sci-fi,36,pirate captain,14
OnTheTrailOfTheSpacePirates,sci-fi,37,jet boats,14
OnTheTrailOfTheSpacePirates,sci-fi,38,space cadet,13
OnTheTrailOfTheSpacePirates,sci-fi,39,scar faced,13
OnTheTrailOfTheSpacePirates,sci-fi,40,one thing,13
OnTheTrailOfTheSpacePirates,sci-fi,41,aye sir,13
OnTheTrailOfTheSpacePirates,sci-fi,42,aboard ship,13
OnTheTrailOfTheSpacePirates,sci-fi,43,faced man,12
OnTheTrailOfTheSpacePirates,sci-fi,44,five minutes,12
OnTheTrailOfTheSpacePirates,sci-fi,45,strong turned,12
OnTheTrailOfTheSpacePirates,sci-fi,46,right said,12
OnTheTrailOfTheSpacePirates,sci-fi,47,said hawks,12
OnTheTrailOfTheSpacePirates,sci-fi,48,aye aye,12
OnTheTrailOfTheSpacePirates,sci-fi,49,guard captain,12
OnTheTrailOfTheSpacePirates,sci-fi,50,pay roll,12
OnTheTrailOfTheSpacePirates,sci-fi,51,curly haired,11
OnTheTrailOfTheSpacePirates,sci-fi,52,let get,11
OnTheTrailOfTheSpacePirates,sci-fi,53,raise ship,11
OnTheTrailOfTheSpacePirates,sci-fi,54,well said,11
OnTheTrailOfTheSpacePirates,sci-fi,55,big cadet,11
OnTheTrailOfTheSpacePirates,sci-fi,56,said simms,11
OnTheTrailOfTheSpacePirates,sci-fi,57,adjustable light,11
OnTheTrailOfTheSpacePirates,sci-fi,58,dog star,11
OnTheTrailOfTheSpacePirates,sci-fi,59,lieutenant williams,11
OnTheTrailOfTheSpacePirates,sci-fi,60,one side,10
OnTheTrailOfTheSpacePirates,sci-fi,61,stepped forward,10
OnTheTrailOfTheSpacePirates,sci-fi,62,ready blast,10
