book,genre,rank,ngram,count
TheWonderfulWizardOfOz,fantasy,90,chapter xxiii glinda,2
TheWonderfulWizardOfOz,fantasy,91,xxiii glinda good,2
TheWonderfulWizardOfOz,fantasy,92,good witch grants,2
TheWonderfulWizardOfOz,fantasy,93,witch grants wish,2
TheWonderfulWizardOfOz,fantasy,94,chapter xxiv home,2
TheWonderfulWizardOfOz,fantasy,95,small dark hole,2
TheWonderfulWizardOfOz,fantasy,96,open trap door,2
TheWonderfulWizardOfOz,fantasy,97,door little girl,2
TheWonderfulWizardOfOz,fantasy,98,never killed anything,2
TheWonderfulWizardOfOz,fantasy,99,witch east said,2
TheWonderfulWizardOfOz,fantasy,100,answered little woman,2
PrideAndPrejudice,romance,1,copyright george allen,35
PrideAndPrejudice,romance,2,miss de bourgh,21
PrideAndPrejudice,romance,3,lady catherine de,15
PrideAndPrejudice,romance,4,catherine de bourgh,15
PrideAndPrejudice,romance,5,george allen chapter,13
PrideAndPrejudice,romance,6,sir william lucas,10
PrideAndPrejudice,romance,7,lady catherine daughter,8
PrideAndPrejudice,romance,8,ten thousand pounds,6
PrideAndPrejudice,romance,9,three young ladies,5
PrideAndPrejudice,romance,10,without opening lips,4
PrideAndPrejudice,romance,11,entered breakfast room,4
PrideAndPrejudice,romance,12,ten thousand year,4
PrideAndPrejudice,romance,13,may depend upon,4
PrideAndPrejudice,romance,14,without saying word,4
PrideAndPrejudice,romance,15,lady catherine seemed,4
PrideAndPrejudice,romance,16,since went away,4
PrideAndPrejudice,romance,17,let us hope,3
PrideAndPrejudice,romance,18,rode black horse,3
PrideAndPrejudice,romance,19,two youngest girls,3
PrideAndPrejudice,romance,20,protested never read,3
PrideAndPrejudice,romance,21,never read novels,3
PrideAndPrejudice,romance,22,delighted see dear,3
PrideAndPrejudice,romance,23,see dear friend,3
PrideAndPrejudice,romance,24,superior dancing often,3
PrideAndPrejudice,romance,25,dancing often seen,3
PrideAndPrejudice,romance,26,assure animated language,3
PrideAndPrejudice,romance,27,much love eloquence,3
PrideAndPrejudice,romance,28,protested must entirely,3
PrideAndPrejudice,romance,29,must entirely mistaken,3
PrideAndPrejudice,romance,30,whenever spoke low,3
PrideAndPrejudice,romance,31,spoke low voice,3
PrideAndPrejudice,romance,32,offended two three,3
PrideAndPrejudice,romance,33,two three young,3
PrideAndPrejudice,romance,34,lady catherine said,3
PrideAndPrejudice,romance,35,catherine said given,3
PrideAndPrejudice,romance,36,said given treasure,3
PrideAndPrejudice,romance,37,meeting accidentally town,3
PrideAndPrejudice,romance,38,forgotten leave message,3
PrideAndPrejudice,romance,39,determined never speak,3
PrideAndPrejudice,romance,40,colonel miller regiment,3
PrideAndPrejudice,romance,41,miller regiment went,3
PrideAndPrejudice,romance,42,regiment went away,3
PrideAndPrejudice,romance,43,first pleasing earnest,3
PrideAndPrejudice,romance,44,pleasing earnest welcome,3
PrideAndPrejudice,romance,45,perhaps like read,3
PrideAndPrejudice,romance,46,spiteful old ladies,3
PrideAndPrejudice,romance,47,happened look round,3
PrideAndPrejudice,romance,48,lizzy dear want,3
PrideAndPrejudice,romance,49,dear want speak,3
PrideAndPrejudice,romance,50,unable utter syllable,3
PrideAndPrejudice,romance,51,sir william lady,3
